,Sample_0,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49
Gene_513,14,12,8,6,5,4,14,10,11,11,13,12,7,14,13,11,10,13,11,8,9,13,9,8,3,8,7,14,9,12,15,10,11,4,10,11,10,6,15,13,18,14,10,7,12,4,5,13,14,14
Gene_514,11,15,11,5,8,10,7,5,13,8,10,13,8,9,13,8,12,10,9,8,7,9,16,9,5,18,4,12,6,10,9,5,9,11,11,7,11,9,6,10,12,15,9,10,8,11,10,8,12,11
Gene_515,14,13,9,12,5,12,7,6,6,7,8,5,11,13,8,11,7,12,8,7,9,5,13,9,10,5,10,15,10,3,9,7,6,9,7,7,10,7,17,9,7,16,7,9,15,15,12,15,10,11
Gene_516,12,13,10,13,10,8,7,9,6,17,13,13,8,10,10,7,13,9,12,7,8,4,11,5,7,10,10,8,8,9,9,6,10,8,8,8,18,7,15,14,12,13,12,8,8,17,14,11,8,6
Gene_517,13,13,12,14,9,6,9,11,5,4,5,14,6,9,15,18,7,12,9,16,8,8,12,6,13,11,11,11,10,12,11,15,5,7,12,9,8,11,9,4,10,10,8,14,8,6,8,4,3,15
Gene_518,7,19,12,9,11,12,10,14,12,8,11,12,6,5,8,20,15,11,9,3,16,8,9,10,8,7,6,12,5,8,15,12,8,10,9,11,7,7,12,14,11,8,9,9,4,10,2,6,5,8
Gene_519,12,6,14,14,20,13,13,7,11,13,13,7,4,14,11,6,11,9,12,11,11,20,9,8,11,15,9,5,7,12,6,5,14,10,11,8,8,8,7,10,7,10,4,5,4,11,12,7,12,12
Gene_520,9,5,6,9,7,15,10,9,10,7,8,7,18,12,5,9,9,11,11,9,11,11,7,10,9,11,10,10,11,10,12,10,12,12,6,10,12,17,5,12,8,15,7,11,8,10,5,9,13,8
Gene_521,5,12,8,7,5,8,4,10,14,8,6,14,7,12,8,12,9,8,8,8,13,9,10,10,12,16,7,17,15,16,13,10,7,8,10,10,8,6,8,7,9,5,10,7,10,7,8,9,13,7
Gene_522,9,10,7,13,11,13,7,8,12,10,9,9,11,9,9,8,13,15,14,16,15,9,9,5,16,8,10,14,14,7,5,15,7,11,10,10,10,19,16,5,8,11,13,14,12,12,3,13,15,18
Gene_523,9,13,11,7,14,8,8,11,8,7,17,8,11,17,12,8,8,12,17,8,17,12,9,12,10,10,15,12,8,13,6,11,12,12,8,11,10,7,4,9,7,10,9,7,10,7,10,4,12,8
Gene_524,12,9,14,7,14,16,10,8,10,8,9,7,9,8,9,15,2,14,11,8,15,7,10,7,15,8,10,8,8,6,9,7,10,6,9,11,8,10,9,14,7,11,9,13,10,6,9,7,8,13
Gene_525,13,8,16,13,13,13,11,8,3,4,8,9,16,12,19,6,14,9,6,10,14,7,9,7,3,11,12,11,11,5,6,11,9,13,3,9,12,8,11,13,13,15,15,10,15,6,10,14,12,10
Gene_526,10,10,10,11,7,9,11,12,8,7,11,9,11,7,9,7,14,17,11,4,10,10,8,7,11,8,6,1,9,14,6,19,11,7,4,7,13,6,10,9,13,8,18,12,12,10,8,7,11,15
Gene_527,11,7,8,16,6,8,11,6,14,15,14,7,9,8,11,7,7,8,9,10,12,8,11,15,12,7,6,8,5,7,4,11,7,2,19,12,6,8,6,6,11,9,11,9,8,7,15,11,9,12
Gene_528,9,13,3,12,6,8,4,10,7,8,11,11,11,14,12,5,8,5,11,12,5,11,15,8,11,24,6,12,3,11,9,10,4,10,7,9,8,17,10,8,14,16,6,9,9,5,10,11,7,9
Gene_529,8,11,11,12,4,9,15,7,11,14,8,11,10,8,10,8,11,6,6,12,9,11,9,6,11,12,9,14,6,16,11,9,11,8,4,10,4,12,9,11,9,8,9,13,5,14,12,13,10,11
Gene_530,13,7,10,9,11,16,10,9,10,11,9,7,15,10,9,14,12,9,6,5,5,15,10,7,8,9,12,13,12,6,10,9,7,10,9,12,7,10,12,10,10,9,13,9,8,7,4,9,9,6
Gene_531,10,12,10,6,11,4,13,7,10,8,11,12,9,13,11,4,3,14,7,10,11,6,8,8,10,8,5,12,12,17,3,15,7,13,11,11,4,14,12,10,12,5,13,10,8,9,10,17,8,12
Gene_532,13,6,8,16,6,6,11,8,11,16,18,15,13,10,6,11,4,9,10,8,11,15,15,5,7,10,7,12,4,7,9,6,12,11,10,8,12,16,10,16,16,9,11,13,4,10,12,10,3,4
Gene_533,7,12,11,17,11,14,11,9,10,11,3,13,6,6,8,5,4,4,12,7,11,12,13,9,8,10,9,8,7,6,7,11,12,7,12,12,8,12,17,5,8,14,10,8,7,4,4,8,9,11
Gene_534,13,23,11,11,11,14,8,9,11,8,10,12,14,8,15,9,13,10,1,9,5,16,5,9,12,9,12,8,8,11,11,8,14,7,7,11,7,8,8,8,10,7,10,8,9,16,12,13,11,9
Gene_535,15,10,7,15,12,13,6,13,10,8,19,15,7,7,11,7,8,11,4,6,11,8,9,12,10,8,6,11,13,7,5,8,10,14,6,10,6,13,7,11,11,13,14,7,6,14,6,10,11,15
Gene_536,13,11,11,15,9,4,6,9,9,6,12,7,16,14,5,8,11,10,5,6,14,11,7,5,13,10,13,14,10,8,11,9,12,7,7,9,7,14,11,6,3,12,16,9,10,14,12,8,8,14
Gene_537,9,6,15,9,14,18,8,7,7,14,6,4,9,11,10,9,15,11,6,12,9,9,11,5,12,12,15,10,13,13,10,8,12,11,8,12,7,8,5,9,9,10,10,9,7,17,8,7,9,8
Gene_538,15,11,10,10,8,9,11,11,14,9,12,6,14,12,14,17,13,10,9,7,10,13,9,3,11,7,6,8,6,12,16,10,10,8,9,16,9,11,13,9,9,11,16,11,6,18,7,9,11,15
Gene_539,14,14,21,13,9,5,11,10,8,14,9,6,14,14,10,6,11,10,9,15,14,14,12,5,19,8,9,7,8,4,8,10,17,11,11,4,7,11,7,11,13,12,13,2,12,8,5,7,9,11
Gene_540,15,9,7,8,11,10,8,6,4,8,14,6,10,10,11,9,12,12,12,12,11,9,11,8,12,9,11,8,16,5,7,10,7,7,13,11,9,10,14,14,6,13,12,11,6,9,9,10,7,12
Gene_541,13,12,8,9,18,12,10,14,9,8,9,5,11,6,11,10,12,10,7,8,11,9,15,14,12,10,14,10,6,10,8,10,11,6,14,12,10,8,17,8,17,16,8,11,9,12,12,13,8,7
Gene_542,4,12,8,6,5,7,4,13,14,6,10,12,8,13,15,4,7,11,9,14,12,10,10,7,6,12,13,10,12,11,8,10,14,18,11,9,10,13,7,6,5,6,7,8,8,9,10,7,11,12
Gene_543,10,12,4,11,11,16,13,11,13,10,10,6,10,5,6,6,8,8,4,8,7,5,11,9,7,8,13,8,18,7,16,12,13,7,4,10,15,9,7,6,15,11,6,11,10,9,9,6,9,7
Gene_544,5,10,8,12,10,11,9,12,15,6,15,12,13,10,8,8,8,10,11,10,11,15,3,14,13,9,12,11,2,7,7,10,10,12,9,6,12,14,7,12,11,13,6,9,12,4,4,13,11,12
Gene_545,7,10,10,10,8,11,6,9,12,9,9,13,13,17,9,10,9,14,16,13,12,15,8,11,8,9,7,13,7,8,8,11,6,7,7,11,12,12,7,13,15,10,11,9,11,9,10,12,14,6
Gene_546,11,19,11,10,11,7,9,13,7,6,7,9,6,11,12,7,4,19,7,15,11,6,19,16,5,14,6,10,11,10,7,8,10,9,16,16,17,12,6,12,8,8,5,9,5,7,11,13,15,14
Gene_547,8,11,10,7,6,9,11,12,10,10,10,10,12,5,9,17,9,12,13,19,8,13,20,8,6,12,15,14,12,6,7,10,4,16,11,10,15,7,8,5,10,9,5,5,7,12,8,2,6,15
Gene_548,15,12,13,10,5,9,11,3,10,8,4,16,8,15,13,8,10,8,10,7,5,15,7,11,16,15,11,10,8,8,15,5,9,11,15,12,12,8,12,6,8,7,7,5,9,11,13,16,14,12
Gene_549,8,8,9,12,12,7,7,10,8,5,10,13,11,12,7,8,12,10,10,4,10,13,5,6,8,20,8,7,6,5,15,10,8,17,9,12,11,10,18,9,10,6,6,13,6,10,7,14,14,9
Gene_550,14,8,16,16,13,12,10,9,16,11,10,10,11,10,11,9,8,10,6,15,6,6,16,12,9,8,5,7,5,9,11,4,10,13,12,10,6,11,10,6,11,8,15,10,4,5,16,7,12,20
Gene_551,11,10,9,9,14,15,10,7,8,12,8,11,8,10,10,11,8,9,10,11,10,5,13,14,11,7,15,11,7,11,5,9,13,12,5,8,4,10,5,6,9,10,13,16,10,6,11,8,12,11
Gene_552,11,9,13,8,11,7,16,12,7,8,12,9,10,8,10,10,15,10,9,13,4,3,9,7,8,13,6,11,14,9,12,11,12,8,11,7,9,10,8,4,9,3,9,13,9,8,11,10,8,9
Gene_553,8,7,8,14,12,11,9,8,13,7,10,10,9,17,6,8,5,9,8,8,11,10,9,18,10,10,10,13,12,8,10,9,6,13,9,12,13,11,17,6,11,8,17,13,10,10,11,7,10,8
Gene_554,7,7,10,7,7,10,7,14,6,10,12,13,10,9,8,16,15,12,16,10,13,8,9,6,9,7,11,9,9,14,9,13,10,3,16,10,13,9,8,10,7,10,10,5,12,8,7,11,7,10
Gene_555,12,8,7,8,12,9,7,8,10,14,11,7,13,13,12,8,13,7,13,11,14,13,11,12,11,2,12,8,10,7,6,8,12,4,15,13,10,7,6,6,9,13,11,13,12,12,6,7,12,6
Gene_556,14,10,12,15,11,12,10,7,9,13,15,3,9,10,16,8,14,10,9,13,14,5,11,10,9,10,7,10,17,14,7,3,8,10,13,11,8,18,10,14,7,7,13,7,5,7,11,13,11,14
Gene_557,11,19,5,5,7,6,14,11,12,14,7,6,15,13,10,15,15,5,7,7,11,9,7,7,8,9,7,5,7,7,12,9,4,10,13,15,7,15,9,6,8,11,11,10,13,14,9,9,14,12
Gene_558,10,7,12,5,19,12,8,9,3,14,7,8,7,13,11,7,5,8,12,8,11,8,14,11,11,5,2,10,10,9,6,11,9,14,10,7,10,8,8,11,6,15,13,20,12,11,7,10,11,17
Gene_559,13,14,11,9,16,15,18,8,9,16,12,10,9,13,8,5,10,11,13,7,9,10,13,10,10,12,12,9,12,11,4,9,8,11,10,5,7,11,8,13,5,10,14,9,8,10,14,13,8,13
Gene_560,14,13,7,11,6,8,8,8,9,14,10,7,8,8,12,6,4,8,7,11,11,14,10,9,9,10,9,10,14,17,11,12,7,5,16,5,10,11,13,15,14,14,9,12,10,11,13,11,11,8
Gene_561,11,13,13,14,8,8,10,7,4,10,12,15,15,5,9,4,14,12,7,9,13,9,10,16,11,11,11,12,7,10,9,7,12,11,10,19,11,14,12,8,4,6,9,12,14,8,9,11,8,10
Gene_562,16,17,7,14,13,4,7,6,5,10,9,4,12,4,10,10,7,10,16,10,11,7,7,8,6,13,11,6,11,9,16,7,10,8,14,9,10,13,9,14,10,8,5,8,11,14,13,12,12,9
Gene_563,12,7,8,6,7,16,8,6,3,6,9,10,12,13,10,9,14,11,5,11,13,13,8,7,11,12,7,12,12,14,11,9,8,10,6,9,14,9,14,11,15,8,14,9,11,12,5,12,7,9
Gene_564,9,4,11,13,8,16,9,11,13,6,14,13,15,20,13,8,10,15,7,9,7,11,10,6,7,8,4,7,6,12,6,8,7,9,17,5,9,7,16,12,4,10,19,9,8,5,10,12,10,7
Gene_565,13,6,7,9,12,8,13,12,10,11,8,7,12,9,14,9,11,13,10,6,13,10,14,13,4,11,7,8,13,9,6,8,7,7,12,8,12,7,12,11,5,11,6,8,9,12,8,10,9,12
Gene_566,7,12,14,10,14,8,13,7,7,10,14,7,16,12,9,8,12,8,9,5,8,15,8,7,9,9,6,8,16,8,8,5,12,15,8,13,12,10,10,7,13,8,10,7,12,4,11,14,8,12
Gene_567,9,15,9,8,8,8,15,6,5,8,8,6,11,9,4,10,7,6,9,7,14,12,11,4,9,10,8,11,12,10,8,7,7,11,9,6,12,9,4,12,12,10,11,14,7,7,15,12,10,13
Gene_568,11,8,8,16,5,7,11,18,7,11,7,8,11,7,4,9,13,12,8,10,4,10,12,11,10,8,18,13,19,10,6,8,9,16,6,14,12,11,6,10,5,9,12,8,6,16,13,9,11,6
Gene_569,8,11,12,9,12,14,7,13,8,8,9,5,3,5,7,7,7,13,4,6,12,13,12,10,10,13,7,12,14,13,9,12,9,10,11,9,7,7,9,12,8,10,8,7,11,13,7,5,7,14
Gene_570,13,14,9,6,17,9,11,13,10,11,7,13,14,9,9,8,10,16,12,8,10,9,14,11,6,13,13,6,7,5,12,14,14,7,8,12,4,11,10,8,13,12,11,0,13,7,10,6,12,7
Gene_571,9,8,11,10,5,7,6,10,7,8,8,11,7,7,13,13,8,15,6,12,13,12,7,10,10,6,18,13,6,11,11,13,10,10,9,18,3,8,7,7,7,6,12,12,6,11,8,19,17,6
Gene_572,12,10,11,13,7,11,6,13,15,12,4,7,14,11,11,13,11,13,8,6,7,7,12,10,6,8,10,15,10,13,10,7,7,9,8,5,10,11,5,12,18,9,10,18,12,10,9,4,8,14
Gene_573,14,11,10,8,12,15,9,11,7,11,13,10,19,11,9,4,9,7,9,5,8,15,9,6,8,11,10,15,13,7,3,14,16,11,8,6,9,12,16,6,16,9,12,9,14,11,7,13,11,7
Gene_574,16,10,9,12,8,15,4,12,11,9,7,13,7,10,4,9,8,10,17,8,12,14,8,8,8,11,12,10,16,9,10,8,8,14,14,11,12,9,10,7,9,14,8,8,11,14,10,6,8,7
Gene_575,7,20,8,10,19,16,10,7,8,12,6,12,9,8,11,9,11,16,11,13,7,12,12,11,15,11,10,9,7,12,12,15,13,8,12,5,9,9,7,10,5,17,10,11,11,5,10,9,12,11
Gene_576,5,4,10,5,6,9,4,10,12,5,8,13,13,16,10,11,15,10,8,8,6,15,10,8,11,9,5,7,13,9,6,7,9,8,9,9,12,7,9,9,8,9,7,10,7,11,4,7,5,8
Gene_577,6,9,11,9,10,12,3,9,17,8,10,6,9,9,8,14,7,7,7,9,7,16,11,9,8,10,14,14,5,12,11,8,17,7,5,9,10,8,14,8,9,10,8,6,9,15,10,8,5,14
Gene_578,6,12,9,4,4,7,8,7,8,9,9,5,11,10,7,5,12,17,7,9,13,3,8,18,15,9,8,12,7,11,13,8,10,9,11,4,14,9,16,9,13,17,13,13,8,10,14,9,11,8
Gene_579,8,17,13,12,9,18,9,6,7,8,11,10,14,13,11,9,9,7,14,10,4,14,11,8,6,12,3,9,6,12,9,7,6,7,7,11,10,6,9,9,11,4,12,9,11,10,7,10,5,6
Gene_580,20,11,9,8,11,8,15,8,13,12,10,14,12,9,10,11,11,10,13,12,13,11,7,11,9,18,7,6,14,13,7,10,14,12,13,11,8,9,11,4,5,10,10,8,11,8,12,4,15,12
Gene_581,14,18,7,10,11,11,11,11,9,7,7,4,6,10,14,7,8,7,7,14,9,10,11,19,10,8,14,7,6,7,15,6,3,2,13,9,11,9,12,5,15,10,6,10,14,10,12,8,13,11
Gene_582,10,8,13,15,12,12,10,9,11,8,11,10,14,12,11,12,13,8,8,13,6,11,20,10,6,11,8,6,4,14,9,5,8,9,12,8,12,8,5,12,16,9,11,12,5,10,16,7,7,7
Gene_583,6,14,13,11,7,14,12,15,5,5,12,4,11,7,13,9,12,12,15,12,7,10,7,16,10,5,14,8,7,7,4,12,15,11,9,13,12,11,8,13,7,12,12,11,10,5,7,8,18,7
Gene_584,9,7,16,12,14,15,7,7,5,13,12,17,5,9,9,11,7,6,10,10,12,9,9,6,17,12,12,7,7,7,7,11,10,7,17,6,14,9,10,9,8,5,9,6,14,10,12,11,10,12
Gene_585,17,8,8,13,10,12,6,7,12,7,12,6,5,7,10,12,7,7,13,8,11,10,9,6,7,4,7,9,17,7,9,8,10,7,14,9,12,13,6,9,9,12,11,10,10,15,13,13,10,8
Gene_586,8,6,13,4,17,8,13,7,8,12,16,11,9,10,10,9,8,17,7,10,9,7,7,4,12,6,9,14,6,14,9,14,7,7,9,11,5,21,8,4,8,11,6,13,10,8,7,5,12,7
Gene_587,14,14,12,9,8,10,15,14,15,11,10,9,11,13,10,8,6,11,14,9,9,16,14,11,12,11,6,6,10,13,8,13,6,13,7,2,8,9,6,9,6,19,17,5,11,11,15,6,12,5
Gene_588,10,10,8,14,15,8,10,16,7,8,12,6,13,11,10,11,9,8,7,10,8,7,6,17,6,9,8,5,10,10,12,20,17,11,14,9,11,15,8,12,7,16,12,18,7,10,7,9,2,15
Gene_589,9,7,20,10,8,14,7,9,11,8,10,12,12,8,8,9,6,10,10,16,16,10,11,8,7,16,8,21,10,7,4,13,10,11,7,10,7,10,12,15,11,6,5,11,11,11,16,13,10,17
Gene_590,4,11,9,6,11,13,4,11,7,9,7,6,8,4,10,4,7,5,11,10,14,10,17,9,8,14,12,12,8,8,9,13,8,12,11,13,15,13,13,9,9,13,13,13,7,17,16,10,6,7
Gene_591,9,10,12,5,8,12,10,11,11,10,9,7,7,7,6,12,7,12,12,9,9,16,11,8,13,9,12,8,10,14,14,6,4,5,13,8,9,11,13,8,13,8,9,9,10,9,7,6,12,7
Gene_592,6,7,5,13,9,6,9,7,12,19,6,19,9,13,10,16,12,8,4,12,10,6,10,17,12,8,13,3,14,16,17,11,12,11,9,6,17,11,11,12,4,11,10,9,8,13,15,10,12,8
Gene_593,11,11,7,9,4,10,5,9,18,11,8,9,9,10,11,11,14,14,13,7,11,8,15,12,7,5,9,9,13,10,11,13,12,9,10,9,12,5,11,9,13,12,5,11,11,14,8,11,14,8
Gene_594,12,9,6,15,15,8,13,10,8,10,7,2,7,12,5,5,8,6,6,6,12,8,6,8,8,10,20,12,9,9,9,10,8,6,13,10,11,11,10,10,13,7,9,16,15,7,5,13,9,11
Gene_595,8,11,10,11,11,24,15,7,13,16,16,7,10,13,11,6,13,6,15,7,11,16,8,10,9,6,9,7,10,6,8,13,18,11,10,7,12,10,5,12,9,14,12,15,8,10,11,8,10,16
Gene_596,6,4,7,8,11,12,8,2,7,13,8,11,11,11,8,11,8,13,4,13,9,15,6,9,7,8,6,5,7,8,9,10,18,5,9,11,9,14,10,13,13,4,13,7,7,9,14,4,9,12
Gene_597,13,11,7,8,9,12,10,8,12,7,10,8,11,9,11,7,11,5,9,9,16,16,16,8,15,14,10,12,10,10,6,10,10,11,9,11,12,8,9,15,9,11,10,14,4,6,10,8,15,11
Gene_598,12,9,4,8,12,14,9,5,6,12,5,16,7,8,9,11,10,8,9,11,14,7,10,10,15,8,5,14,16,10,5,13,11,5,8,8,10,8,12,6,10,13,9,9,9,9,18,6,5,13
Gene_599,10,7,16,8,9,11,14,12,14,9,8,10,8,8,8,16,16,10,12,9,9,11,11,8,4,5,8,11,11,5,14,6,10,6,10,10,12,9,11,10,11,13,14,9,11,12,14,8,12,11
Gene_600,15,14,12,10,10,11,11,12,17,9,12,16,10,6,5,4,7,16,8,12,4,13,14,10,10,11,7,11,7,15,11,11,11,8,11,14,10,14,17,9,9,4,13,8,6,10,13,4,7,8
Gene_601,9,12,18,10,4,8,6,10,8,14,13,14,9,11,15,16,10,6,11,10,8,15,12,10,8,9,15,8,11,15,11,13,9,13,6,11,12,12,8,10,17,16,10,3,10,17,14,8,9,16
Gene_602,13,6,10,6,6,12,8,12,14,8,8,10,11,11,10,18,8,8,11,7,12,10,9,16,9,10,17,10,12,6,8,13,6,13,7,13,10,9,13,12,13,6,7,17,11,13,12,14,13,16
Gene_603,7,14,7,11,9,16,4,11,10,8,6,11,13,10,15,14,7,11,8,12,9,13,10,9,10,14,7,11,17,12,10,12,9,8,2,7,18,6,5,9,10,5,5,11,10,13,12,11,6,9
Gene_604,9,11,13,14,7,16,11,12,10,12,7,10,11,8,9,8,11,15,10,14,11,16,12,14,12,10,9,9,12,10,8,8,12,11,15,12,18,13,12,11,12,10,12,10,17,8,11,11,9,8
Gene_605,10,14,14,6,7,5,14,11,16,9,6,14,7,6,6,14,6,8,14,10,10,9,12,9,10,6,17,10,9,15,9,14,8,12,9,12,9,12,10,11,10,9,4,11,11,7,3,15,6,9
Gene_606,7,10,8,10,12,7,16,12,12,12,11,12,7,8,14,10,14,7,1,7,8,13,11,7,11,13,12,13,8,9,5,13,12,9,5,7,9,17,15,16,10,9,8,9,11,11,10,14,8,7
Gene_607,13,12,11,9,7,5,12,14,9,8,13,13,10,6,7,7,7,8,6,11,13,5,8,7,9,12,7,4,12,10,6,12,8,14,8,11,11,5,12,7,9,5,6,6,13,10,8,5,13,9
Gene_608,7,8,7,14,7,15,10,12,9,11,10,7,4,13,14,8,8,7,4,11,13,13,8,6,4,10,6,12,9,5,18,12,9,8,9,6,16,13,9,13,8,11,15,12,7,10,6,8,13,11
Gene_609,4,9,6,10,13,5,11,12,11,13,10,13,9,16,11,11,7,12,7,15,11,10,8,4,11,9,11,5,9,11,7,7,9,10,11,5,6,12,12,11,9,13,13,13,14,12,7,5,18,3
Gene_610,12,16,7,7,12,14,5,10,12,9,8,10,12,15,10,8,11,11,15,16,9,3,3,10,14,5,7,14,7,14,5,7,11,7,10,13,9,10,15,7,8,16,8,8,8,9,6,7,15,18
Gene_611,10,9,11,13,5,12,13,12,9,10,8,6,7,6,11,12,12,9,13,12,13,10,11,14,9,9,12,7,5,7,8,6,4,13,8,6,12,11,10,7,12,17,12,14,9,8,7,10,7,6
Gene_612,6,14,6,15,12,14,4,10,12,8,13,7,14,13,13,14,10,20,9,15,10,15,9,7,9,12,4,6,14,6,12,3,7,8,10,14,5,11,17,6,9,12,9,9,9,12,11,5,10,12
Gene_613,16,13,9,10,11,6,9,12,8,5,7,11,7,8,12,11,9,10,5,13,6,5,6,8,12,9,14,9,14,11,11,8,8,6,8,9,6,10,16,8,9,12,10,12,10,7,7,10,10,14
Gene_614,11,16,7,11,15,9,11,5,7,9,5,12,11,6,15,21,11,10,10,8,13,7,6,10,11,9,12,4,14,8,5,4,10,11,7,9,10,6,10,11,4,13,10,12,10,14,2,10,11,12
Gene_615,9,10,12,7,16,12,11,7,6,6,19,10,11,17,9,9,4,6,10,10,8,12,7,4,8,20,7,4,8,11,14,6,12,12,7,15,8,11,9,10,11,9,10,15,8,10,10,16,14,8
Gene_616,10,11,20,11,10,5,5,9,7,12,8,8,10,9,16,7,11,8,10,13,8,8,12,8,12,7,10,19,15,12,8,8,8,8,8,14,12,10,7,5,7,12,11,11,4,11,13,14,8,6
Gene_617,7,5,10,16,13,7,11,10,10,16,8,15,12,13,5,12,16,5,8,5,7,10,10,8,8,8,10,13,9,4,6,12,11,8,17,10,4,12,7,9,9,10,15,14,11,7,10,9,9,10
Gene_618,8,11,8,11,12,13,9,13,12,5,8,7,9,9,11,8,13,8,11,12,8,18,10,11,7,9,14,13,8,14,7,10,13,13,10,10,13,10,12,13,4,11,8,6,17,16,13,7,15,16
Gene_619,10,13,6,10,9,11,13,14,18,11,10,19,12,9,10,20,11,8,6,6,8,15,7,9,8,8,7,17,12,5,12,7,10,7,5,9,12,10,11,6,12,17,13,16,6,4,13,9,14,11
Gene_620,10,8,8,10,8,10,9,12,11,7,17,9,6,15,10,14,7,7,15,9,12,9,13,13,9,10,8,5,10,5,11,9,10,4,8,6,8,11,12,10,12,15,5,15,10,12,7,10,11,20
Gene_621,8,7,13,12,12,13,6,12,8,6,8,5,12,6,8,8,11,11,7,6,10,8,15,13,9,17,16,10,12,12,7,9,14,12,11,10,12,14,8,9,13,9,11,8,13,6,9,3,12,9
Gene_622,7,12,4,9,5,10,6,10,10,14,12,10,12,13,10,10,14,12,15,10,4,14,16,12,8,9,14,6,13,13,11,10,12,11,6,11,18,5,12,10,12,7,12,11,8,10,10,9,5,18
Gene_623,11,7,10,7,8,11,10,10,10,8,11,11,3,12,18,9,12,14,14,11,6,9,7,10,7,13,15,10,9,7,12,11,9,10,16,11,8,13,14,10,13,2,11,16,9,6,8,9,10,13
Gene_624,5,7,5,11,15,7,10,6,7,13,8,8,16,12,14,10,10,9,13,13,8,14,10,10,15,11,14,11,3,7,9,16,10,10,6,16,12,12,16,14,13,16,20,14,8,11,9,8,16,10
Gene_625,11,5,14,10,5,8,11,13,14,16,8,5,8,8,4,13,10,11,12,10,11,7,15,14,8,5,7,4,6,13,9,12,10,16,10,9,15,13,8,12,7,6,8,20,8,18,14,11,15,11
Gene_626,10,17,10,14,10,7,14,9,13,7,10,8,7,16,9,12,7,5,12,8,14,18,11,11,6,4,10,5,9,8,11,7,15,9,9,15,9,6,11,6,7,10,10,9,14,15,11,13,13,12
Gene_627,13,8,7,9,8,12,12,9,15,6,4,6,7,14,8,11,17,4,8,11,10,5,8,8,7,13,11,4,11,16,10,10,12,10,10,7,13,16,11,9,12,13,14,11,14,11,9,10,8,7
Gene_628,10,8,15,11,11,10,9,10,10,10,11,10,20,10,12,11,10,11,6,15,9,5,19,10,11,9,5,14,6,10,14,16,8,9,12,9,14,13,9,10,5,4,12,7,11,11,8,18,8,16
Gene_629,13,11,12,8,17,8,12,8,11,11,12,8,6,8,9,8,14,11,9,7,16,7,9,5,15,10,12,12,10,10,7,5,7,11,15,11,8,14,9,10,7,5,17,7,6,11,5,10,11,11
Gene_630,11,7,6,10,17,7,12,6,13,12,5,13,8,10,11,9,6,11,11,8,10,11,14,15,6,15,14,14,16,4,5,16,17,9,6,10,11,10,5,8,15,10,18,8,8,9,5,8,13,8
Gene_631,11,5,8,7,9,9,12,8,11,8,9,12,6,12,6,10,10,4,12,15,3,13,7,7,11,11,11,7,7,6,13,10,7,19,13,7,8,6,9,12,9,11,10,10,13,7,17,8,6,10
Gene_632,7,10,11,13,10,8,7,11,10,9,7,12,11,13,14,10,14,8,13,7,12,11,2,12,12,8,5,12,10,15,11,9,7,5,9,6,10,14,9,13,11,16,12,11,7,7,12,10,14,10
Gene_633,9,10,12,14,14,6,7,13,8,8,10,13,13,9,12,7,4,14,10,8,10,10,12,10,7,13,2,12,14,12,12,9,9,6,7,7,14,8,9,11,9,11,9,5,12,11,15,6,7,20
Gene_634,12,9,10,8,15,9,9,6,6,4,8,12,9,11,9,11,11,8,10,7,10,16,7,11,4,13,9,13,11,11,11,5,12,5,4,11,9,8,12,11,10,11,6,17,10,10,11,8,6,7
Gene_635,17,10,8,10,10,15,18,16,9,7,12,9,9,9,15,10,6,5,5,8,9,9,9,11,7,9,10,14,7,13,10,9,15,10,16,15,6,4,13,16,9,10,18,10,8,13,9,11,14,8
Gene_636,12,7,8,11,15,11,10,9,10,13,12,10,8,9,11,8,9,13,7,4,4,17,8,12,9,22,12,10,11,8,6,5,8,10,10,13,9,14,8,7,8,6,7,13,9,10,8,13,15,10
Gene_637,12,10,17,8,13,5,9,11,14,11,16,10,12,11,12,8,12,8,12,17,7,10,11,7,7,10,9,13,12,14,15,4,6,12,11,13,10,12,8,13,13,10,12,14,8,12,10,7,8,12
Gene_638,10,10,12,13,8,9,4,9,10,5,8,9,8,9,8,12,14,8,10,10,9,12,10,13,7,7,6,12,10,9,4,10,10,7,9,11,13,9,7,9,8,6,13,8,5,9,8,14,15,7
Gene_639,9,11,4,4,14,12,14,11,16,5,13,4,13,10,11,17,9,10,9,12,16,12,7,9,11,10,13,5,8,9,12,13,9,3,20,14,12,9,8,15,16,10,8,13,10,14,10,16,12,16
Gene_640,18,12,10,6,6,9,10,8,11,13,8,11,12,11,13,11,9,9,13,4,9,14,6,12,7,7,8,14,10,10,7,9,11,12,7,7,4,9,13,13,12,8,10,5,11,4,10,7,9,10
Gene_641,8,7,11,15,9,4,6,12,11,6,4,7,9,10,11,14,14,5,9,6,7,9,5,9,10,13,13,11,10,11,7,7,10,9,7,8,8,1,11,15,8,10,11,13,13,18,14,8,14,12
